,index,log-age-yr,Vmag,Kmag,V-F220W,V-F250W,V-F330W,V-F410W,V-F435W,V-F475W,V-F555W,V-F606W,V-F625W,V-F775W,V-F814W,log Nly,Mt/Lb,Mt/Lv,Mt/Lk,Z,Library
0,0,5.0,1.856,2.6119,3.3408,2.8567,2.1303,0.6966,0.4415,0.2199,0.0391,-0.0271,-0.1166,-0.2646,-0.3244,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
1,1,5.149989,1.856,2.6119,3.3408,2.8567,2.1303,0.6966,0.4415,0.2199,0.0391,-0.0271,-0.1166,-0.2646,-0.3244,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
2,2,5.200002,1.856,2.6119,3.3408,2.8567,2.1303,0.6966,0.4415,0.2199,0.0391,-0.0271,-0.1166,-0.2646,-0.3244,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
3,3,5.250005,1.856,2.6119,3.3408,2.8567,2.1303,0.6966,0.4415,0.2199,0.0391,-0.0271,-0.1166,-0.2646,-0.3244,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
4,4,5.300008,1.856,2.6119,3.3408,2.8567,2.1303,0.6966,0.4415,0.2199,0.0391,-0.0271,-0.1166,-0.2646,-0.3244,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
5,5,5.349996,1.856,2.6119,3.3408,2.8567,2.1303,0.6966,0.4415,0.2199,0.0391,-0.0271,-0.1166,-0.2646,-0.3244,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
6,6,5.400002,1.8552,2.611,3.34,2.8561,2.13,0.6963,0.4413,0.2198,0.039,-0.0271,-0.1165,-0.2644,-0.3242,46.6919,0.0263,0.0664,0.5351,0.0001,BaSeL
7,7,5.450003,1.8518,2.6082,3.3398,2.8558,2.1298,0.6961,0.4411,0.2197,0.039,-0.0271,-0.1165,-0.2645,-0.3243,46.6942,0.0263,0.0662,0.5337,0.0001,BaSeL
8,8,5.500003,1.8474,2.6045,3.3395,2.8555,2.1295,0.6959,0.4409,0.2195,0.039,-0.027,-0.1165,-0.2645,-0.3244,46.6974,0.0262,0.0659,0.5319,0.0001,BaSeL
9,9,5.550008,1.8425,2.6004,3.3392,2.8551,2.1292,0.6956,0.4407,0.2194,0.039,-0.027,-0.1164,-0.2646,-0.3245,46.7012,0.026,0.0656,0.5299,0.0001,BaSeL
10,10,5.600003,1.85,2.6058,3.3392,2.8549,2.1289,0.6956,0.4407,0.2194,0.039,-0.027,-0.1163,-0.2641,-0.3239,46.6961,0.0262,0.0661,0.5325,0.0001,BaSeL
11,11,5.650006,1.8512,2.6064,3.3386,2.8545,2.1285,0.6954,0.4406,0.2193,0.039,-0.027,-0.1162,-0.2639,-0.3237,46.6935,0.0263,0.0661,0.5328,0.0001,BaSeL
12,12,5.700002,1.8473,2.6025,3.3384,2.8538,2.1276,0.6948,0.4401,0.219,0.0389,-0.0269,-0.1161,-0.2636,-0.3234,46.6997,0.0262,0.0659,0.5309,0.0001,BaSeL
13,13,5.749999,1.8426,2.5979,3.3386,2.8533,2.1267,0.6942,0.4395,0.2187,0.0389,-0.0269,-0.1159,-0.2633,-0.3232,46.7089,0.0261,0.0656,0.5286,0.0001,BaSeL
14,14,5.800002,1.8377,2.5929,3.3384,2.8524,2.1255,0.6934,0.4389,0.2183,0.0388,-0.0268,-0.1156,-0.263,-0.3228,46.7175,0.026,0.0653,0.5262,0.0001,BaSeL
