,index,log-age-yr,Vmag,Kmag,V-F225W,V-F336W,V-F438W,V-F547M,V-F555W,V-F606W,V-F625W,V-F656N,V-F657N,V-F658N,V-F814W,log Nly,Mt/Lb,Mt/Lv,Mt/Lk,Z,Library
0,0,5.0,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
1,1,5.149989,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
2,2,5.200002,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
3,3,5.250005,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
4,4,5.300008,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
5,5,5.349996,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
6,6,5.400002,1.8552,2.611,3.2436,2.1231,0.3323,-0.0021,0.0602,-0.0299,-0.1081,0.1079,-0.0683,-0.0251,-0.2955,46.6919,0.0263,0.0664,0.5351,0.0001,BaSeL
7,7,5.450003,1.8518,2.6082,3.2434,2.1229,0.3321,-0.0021,0.0602,-0.0299,-0.1081,0.1081,-0.0682,-0.025,-0.2955,46.6942,0.0263,0.0662,0.5337,0.0001,BaSeL
8,8,5.500003,1.8474,2.6045,3.243,2.1227,0.3319,-0.0021,0.0602,-0.0298,-0.1081,0.1084,-0.0681,-0.0249,-0.2956,46.6974,0.0262,0.0659,0.5319,0.0001,BaSeL
9,9,5.550008,1.8425,2.6004,3.2427,2.1224,0.3316,-0.0021,0.0601,-0.0298,-0.108,0.1086,-0.0679,-0.0247,-0.2957,46.7012,0.026,0.0656,0.5299,0.0001,BaSeL
